WS_id_primary_key,WS_match_id,Comp,tournament_Code,Season,season_Code,Match_name,MD,Day,Date,Time,venue,Attendance,Referee,refereeCode,Weather,home_team,home_Team_Code,away_team,away_Team_Code,Result,halftime_score,halftime_score_HT,halftime_score_AT,Score,HT_score,HT_goal_mins_1,HT_goal_mins_2,HT_goal_mins_3,HT_goal_mins_4,HT_goal_mins_5,HT_goal_mins_6,HT_goal_mins_7,HT_goal_mins_8,HT_goal_mins_9,HT_goal_mins_10,HT_goalscorers_1,HT_goalscorers_1_code,HT_goalscorers_2,HT_goalscorers_2_code,HT_goalscorers_3,HT_goalscorers_3_code,HT_goalscorers_4,HT_goalscorers_4_code,HT_goalscorers_5,HT_goalscorers_5_code,HT_goalscorers_6,HT_goalscorers_6_code,HT_goalscorers_7,HT_goalscorers_7_code,HT_goalscorers_8,HT_goalscorers_8_code,HT_goalscorers_9,HT_goalscorers_9_code,HT_goalscorers_10,HT_goalscorers_10_code,AT_score,AT_goal_mins_1,AT_goal_mins_2,AT_goal_mins_3,AT_goal_mins_4,AT_goal_mins_5,AT_goal_mins_6,AT_goal_mins_7,AT_goal_mins_8,AT_goal_mins_9,AT_goal_mins_10,AT_goalscorers_1,AT_goalscorers_1_code,AT_goalscorers_2,AT_goalscorers_2_code,AT_goalscorers_3,AT_goalscorers_3_code,AT_goalscorers_4,AT_goalscorers_4_code,AT_goalscorers_5,AT_goalscorers_5_code,AT_goalscorers_6,AT_goalscorers_6_code,AT_goalscorers_7,AT_goalscorers_7_code,AT_goalscorers_8,AT_goalscorers_8_code,AT_goalscorers_9,AT_goalscorers_9_code,AT_goalscorers_10,AT_goalscorers_10_code,Team,Team_Code,Team_result,Team_points,Team_Goals,Opp_Goals,HTorAT,manager,Shots,Shots_on_target,Pass_Success_percent,Aerial_Duel_Success_percent,Dribbles_won,Tackles,Possession_percent,Total_Attempts,Goals,Conversion_Rate_percent,Open_Play_shots,Set_Piece_shots,Counter_Attack_shots,Penalty_shots,Own_Goal_shots,Total_Passes,Crosses,Through_Balls,Long_Balls,Short_Passes,Average_Pass_Streak,Total_Cards,Cards_for_Fouls,Cards_for_Unprofessional,Cards_for_Dives,Cards_for_Other,Red_Cards,Yellow_Cards,Cards_per_Foul_percent,Fouls_per_Game,Ratings,Total_Shots,Woodwork_shots,Shots_on_target_B,Shots_off_target,Shots_blocked,Possession_percent_b,Touches,Pass_Success_percent_b,Total_passes_b,Accurate_passes,Key_passes,Dribbles_Won_b,Dribbles_attempted,Dribbled_past,Dribble_Success_percent,Aerials_Won,Aerials_Won_percent,Offensive_Aerials,Defensive_Aerials,Successful_Tackles,Tackles_Attempted,Was_Dribbled,Tackle_Success_percent,Clearances,Interceptions,Corners,Corner_Accuracy_percent,Dispossessed,Errors,Fouls,Offsides,Goals_b,Shots_on_Target_c,Shots_off_Target_b,Woodworks_shots,Blocked_shots,Own_shots,6_yard_box_shots,Penalty_Area_shots,Outside_of_box_shots,Open_Play_shots_b,Fastbreak_shots_b,Set_Pieces_shots_b,Penalty_shots_b,Own_Goal_shots_b,Right_foot_shots,Left_foot_shots,Headed_shots,Crossed_passes,Freekick_passes,Corner_passes,Through_Balls_b,Throw_Ins,Key_Passes_b,Long_passes_b,Short_passes_b,Chipped_passes,Ground_passes,Headed_passes,Feet_passes,Forward_passes,Backward_passes,Passes_to_Left,Passes_to_Right,Defensive_Third_passes,Mid_Third_passes,Final_Third_passes,Successful_passes_b,Unsuccessful_passes_b,Successful_Tackles_b,Was_Dribbled_b,Interceptions_b,Total_clearances,clearances_Off_The_Line,clearances_with_Head,clearances_with_Feet,Blocked_Shots_c,blocked_Crosses,Offsides_b,Fouls_b,Aerial_duels_b,Touches_b,Dispossessed_b,Turnover,error_Lead_to_Shot,error_Lead_to_Goal,Saves,Claims,Punches,totalGoals,totalShots,totalShots_on_target,totalPass_Success_percent,totalDribbles_won,totalTackles,totalTotal_Attempts,totalGoalsB,totalConversion_Rate_percent,totalOpen_Play_shots,totalSet_Piece_shots,totalCounter_Attack_shots,totalPenalty_shots,totalOwn_Goal_shots,totalTotal_Passes,totalCrosses,totalThrough_Balls,totalLong_Balls,totalShort_Passes,totalAverage_Pass_Streak,totalTotal_Cards,totalCards_for_Dives,totalRed_Cards,totalYellow_Cards,totalWoodwork_shots,totalShots_off_target,totalShots_blocked,totalTouches,totalAccurate_passes,totalKey_passes,totalDribbles_attempted,totalDribble_Success_percent,totalAerials,totalTackles_Attempted,totalTackle_Success_percent,totalClearances,totalInterceptions,totalCorners,totalCorner_Accuracy_percent,totalDispossessed,totalErrors,totalFouls,totalOffsides,total6_yard_box_shots,totalPenalty_Area_shots,totalOutside_of_box_shots,totalRight_foot_shots,totalLeft_foot_shots,totalHeaded_shots,totalFreekick_passes,totalThrow_Ins,totalChipped_passes,totalGround_passes,totalHeaded_passes,totalFeet_passes,totalForward_passes,totalBackward_passes,totalPasses_to_Left,totalPasses_to_Right,totalDefensive_Third_passes,totalMid_Third_passes,totalFinal_Third_passes,totalclearances_Off_The_Line,totalclearances_with_Head,totalclearances_with_Feet,totalblocked_Crosses,totalTurnover,totalerror_Lead_to_Shot,totalerror_Lead_to_Goal,totalSaves,totalClaims,totalPunches,percentHT_ShotsOffTarget,percentHT_ShotsOnTarget,percentHT_ShotsBlocked,percentHT_6ydBoxShots,percentHT_PenAreaShots,percentHT_OutsideBoxShots,percentHT_OpenPlayShots,percentHT_FastBreakShots,percentHT_SetPieceShots,percentHT_RightFootedShots,percentHT_LeftFootedShots,percentHT_HeadedShots,percentHT_LongPasses,percentHT_ShortPasses,percentHT_HighPasses,percentHT_LowPasses,percentHT_HeadPasses,percentHT_FeetPasses,percentHT_ForwardPasses,percentHT_BackwardPasses,percentHT_PassesToLeft,percentHT_PassesToRight,percentHT_DefThirdPasses,percentHT_MidThirdPasses,percentHT_FinalThirdPasses,percentAT_ShotsOffTarget,percentAT_ShotsOnTarget,percentAT_ShotsBlocked,percentAT_6ydBoxShots,percentAT_PenAreaShots,percentAT_OutsideBoxShots,percentAT_OpenPlayShots,percentAT_FastBreakShots,percentAT_SetPieceShots,percentAT_RightFootedShots,percentAT_LeftFootedShots,percentAT_HeadedShots,percentAT_LongPasses,percentAT_ShortPasses,percentAT_HighPasses,percentAT_LowPasses,percentAT_HeadPasses,percentAT_FeetPasses,percentAT_ForwardPasses,percentAT_BackwardPasses,percentAT_PassesToLeft,percentAT_PassesToRight,percentAT_DefThirdPasses,percentAT_MidThirdPasses,percentAT_FinalThirdPasses
WS1743393HT,1743393,Bund,3,2023-24,9649,Bremen 0:4 Bayern (Fri 18-Aug-23),1,Fri,18/08/2023,19:30:00,wohninvest WESERSTADION,0,F. Zwayer,1128,-,Bremen,42,Bayern,37,AW,00:01,0,1,00:04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,74,90,93,,,,,,,Leroy San\xe9,144711,Harry Kane,83532,Leroy San\xe9,144711,Mathys Tel,422885,,,,,,,,,,,,,Bremen,42,L,0,0,4,HT,Ole Werner,6,1,72,48,3,29,28,6,0,0,5,1,0,0,0,265,13,0,50,202,3,2,2,0,0,0,0,2,12,17,6.09,6,0,1,5,0,28,410,72,244,176,3,3,6,20,50,16,48,23,10,29,49,20,59,16,3,0,0,1,0,17,3,0,1,5,0,0,0,0,3,3,5,0,1,0,0,2,4,0,12,5,0,0,10,3,49,223,58,214,26,246,196,75,144,127,76,122,74,3,4,29,20,3,16,0,7,9,8,12,3,17,16,410,1,10,0,0,6,1,0,4,31,11,163,23,32,31,4,16,24,1,6,0,0,951,31,2,87,831,9,3,0,0,3,1,12,8,1270,777,26,23,99,33,55,109,25,9,6,67,12,0,28,3,1,16,14,19,10,2,23,31,100,879,54,925,629,348,504,469,208,480,291,0,12,13,19,21,0,0,7,2,0,83.3,16.7,0,0,50,50,83.3,0,16.7,33.3,66.7,0,18,82,21.3,78.7,9.6,90.4,72.3,27.7,53.1,46.9,27.9,44.9,27.2,26.9,38.5,30.8,4,56,44,76,4,20,68,24,8,5.1,94.9,5.9,94.1,4,96,61.3,38.7,51.3,48.7,18.7,50.6,30.7
WS1743393AT,1743393,Bund,3,2023-24,9649,Bremen 0:4 Bayern (Fri 18-Aug-23),1,Fri,18/08/2023,19:30:00,wohninvest WESERSTADION,0,F. Zwayer,1128,-,Bremen,42,Bayern,37,AW,00:01,0,1,00:04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,74,90,93,,,,,,,Leroy San\xe9,144711,Harry Kane,83532,Leroy San\xe9,144711,Mathys Tel,422885,,,,,,,,,,,,,Bayern,37,W,3,4,0,AT,Thomas Tuchel,25,10,91,52,20,3,72,25,4,16,19,5,1,0,0,686,18,2,37,629,6,1,6,5,1,0,0,0,6,0,7.4,25,1,10,7,8,72,860,91,664,601,23,20,41,3,49,17,52,10,23,3,6,3,50,9,6,6,67,11,0,11,0,4,10,7,1,8,0,1,13,11,19,1,5,0,0,17,6,2,18,18,6,2,21,23,36,671,42,665,28,679,433,273,360,342,132,358,217,20,23,3,3,6,9,0,5,4,0,7,0,11,17,860,11,11,0,0,1,1,0,4,31,11,163,23,32,31,4,16,24,1,6,0,0,951,31,2,87,831,9,3,0,0,3,1,12,8,1270,777,26,23,99,33,55,109,25,9,6,67,12,0,28,3,1,16,14,19,10,2,23,31,100,879,54,925,629,348,504,469,208,480,291,0,12,13,19,21,0,0,7,2,0,83.3,16.7,0,0,50,50,83.3,0,16.7,33.3,66.7,0,18,82,21.3,78.7,9.6,90.4,72.3,27.7,53.1,46.9,27.9,44.9,27.2,26.9,38.5,30.8,4,56,44,76,4,20,68,24,8,5.1,94.9,5.9,94.1,4,96,61.3,38.7,51.3,48.7,18.7,50.6,30.7
WS1743394HT,1743394,Bund,3,2023-24,9649,Leverkusen 3:2 Leipzig (Sat 19-Aug-23),1,Sat,19/08/2023,14:30:00,BayArena,0,D.F. Brych,1210,-,Leverkusen,36,Leipzig,7614,HW,02:01,2,1,03:02,3,24,35,64,,,,,,,,Jeremie Frimpong,392644,Jonathan Tah,134946,Florian Wirtz,394786,,,,,,,,,,,,,,,2,39,71,,,,,,,,,Dani Olmo,261212,Lo\xefs Openda,363618,,,,,,,,,,,,,,,,,Leverkusen,36,W,3,3,2,HT,Xabi Alonso,11,7,82,46,11,15,45,11,3,27,9,1,1,0,0,463,15,1,38,409,5,1,0,0,0,1,0,1,8,13,6.9,11,0,7,3,1,45,610,82,442,362,8,11,22,9,50,13,46,16,12,15,24,9,63,13,8,4,50,7,0,13,2,3,7,3,0,1,0,0,6,5,9,1,1,0,0,6,3,2,15,10,4,1,12,8,36,437,36,437,20,453,283,188,251,220,82,248,143,11,12,15,9,8,13,0,6,7,4,12,2,13,13,610,7,9,0,0,4,2,0,5,25,13,168,20,31,25,5,41,18,1,6,0,0,1039,28,2,74,935,10,3,0,0,3,1,7,5,1344,840,19,20,97,28,51,122,25,16,9,90,14,0,23,2,4,11,10,12,5,8,24,35,90,982,38,1034,652,416,548,519,282,535,255,0,9,16,20,22,0,0,8,3,1,27.3,63.6,9.1,0,54.5,45.5,81.8,9,9.1,54.5,27.3,18.2,7.6,92.4,7.6,92.4,4.2,95.8,60.1,39.9,53.3,46.7,17.3,52.4,30.2,26.7,40,26.7,28.6,64.3,35.7,64.3,0,35.7,42.9,14.3,42.9,5.8,94.2,9,91,3,97,61.8,38.2,49.8,50.2,33.4,47.9,18.7
WS1743394AT,1743394,Bund,3,2023-24,9649,Leverkusen 3:2 Leipzig (Sat 19-Aug-23),1,Sat,19/08/2023,14:30:00,BayArena,0,D.F. Brych,1210,-,Leverkusen,36,Leipzig,7614,HW,02:01,2,1,03:02,3,24,35,64,,,,,,,,Jeremie Frimpong,392644,Jonathan Tah,134946,Florian Wirtz,394786,,,,,,,,,,,,,,,2,39,71,,,,,,,,,Dani Olmo,261212,Lo\xefs Openda,363618,,,,,,,,,,,,,,,,,Leipzig,7614,L,0,2,3,AT,Marco Rose,14,6,86,54,9,16,56,14,2,14,9,5,0,0,0,576,13,1,36,526,5,2,11,9,1,1,0,0,11,3,6.55,14,1,6,4,4,56,734,86,557,478,11,9,19,11,47,15,54,12,16,16,27,11,59,12,8,5,40,7,0,10,0,2,6,4,1,4,0,4,5,5,9,0,5,0,0,6,2,6,13,14,5,1,23,11,35,564,54,545,18,581,369,228,297,299,200,287,112,9,10,16,11,8,12,0,3,9,1,8,0,10,15,734,7,13,0,0,4,1,1,5,25,13,168,20,31,25,5,41,18,1,6,0,0,1039,28,2,74,935,10,3,0,0,3,1,7,5,1344,840,19,20,97,28,51,122,25,16,9,90,14,0,23,2,4,11,10,12,5,8,24,35,90,982,38,1034,652,416,548,519,282,535,255,0,9,16,20,22,0,0,8,3,1,27.3,63.6,9.1,0,54.5,45.5,81.8,9,9.1,54.5,27.3,18.2,7.6,92.4,7.6,92.4,4.2,95.8,60.1,39.9,53.3,46.7,17.3,52.4,30.2,26.7,40,26.7,28.6,64.3,35.7,64.3,0,35.7,42.9,14.3,42.9,5.8,94.2,9,91,3,97,61.8,38.2,49.8,50.2,33.4,47.9,18.7
WS1743396HT,1743396,Bund,3,2023-24,9649,Wolfsburg 2:0 Heidenheim (Sat 19-Aug-23),1,Sat,19/08/2023,14:30:00,Volkswagen Arena,0,F. BadstÃÂ¼bner,2447,-,Wolfsburg,33,Heidenheim,4852,HW,02:00,2,0,02:00,2,6,27,,,,,,,,,Jonas Wind,353565,Jonas Wind,353565,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolfsburg,33,W,3,2,0,HT,Niko Kovac,18,8,82,48,7,17,48,18,2,11,15,0,3,0,0,487,8,2,45,432,5,3,2,0,0,1,0,3,30,10,6.95,18,0,8,7,3,48,679,82,472,388,13,7,21,13,33,19,48,13,27,17,30,13,57,15,16,1,0,8,0,10,2,2,8,7,0,3,0,1,13,4,15,3,0,0,0,9,7,1,8,8,1,2,18,13,45,458,37,466,33,470,326,174,241,259,128,260,115,7,18,17,13,16,15,0,9,6,7,19,2,10,19,679,8,20,0,0,1,2,0,2,32,9,161,20,37,32,2,11,24,3,5,0,0,1004,32,2,107,863,9,3,0,0,3,0,13,10,1370,771,23,20,78,40,57,131,22,29,8,43,12,2,19,2,4,19,9,18,10,3,17,43,92,953,71,974,674,364,516,524,272,494,279,0,14,8,32,35,1,1,7,2,0,38.9,44.4,16.7,5.6,77.8,22.2,83.3,17,0,50,38.9,5.6,8.9,91.1,7.4,92.6,6.6,93.4,65.2,34.8,48.2,51.8,25.4,51.7,22.9,42.9,7.1,50,21.4,64.3,35.7,64.3,0,35.7,64.3,21.4,14.3,11.1,88.9,10.1,89.9,7,93,64.7,35.3,50.9,49.1,26.6,43.2,30.3
WS1743396AT,1743396,Bund,3,2023-24,9649,Wolfsburg 2:0 Heidenheim (Sat 19-Aug-23),1,Sat,19/08/2023,14:30:00,Volkswagen Arena,0,F. BadstÃÂ¼bner,2447,-,Wolfsburg,33,Heidenheim,4852,HW,02:00,2,0,02:00,2,6,27,,,,,,,,,Jonas Wind,353565,Jonas Wind,353565,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heidenheim,4852,L,0,0,2,AT,Frank Schmidt,14,1,79,53,13,20,52,14,0,0,9,5,0,0,0,517,24,0,62,431,4,0,18,15,0,3,0,0,18,2,6.34,14,0,1,6,7,52,691,79,484,383,10,13,29,7,45,21,53,27,13,20,27,7,74,7,13,7,43,4,2,9,0,0,1,6,0,7,0,3,6,5,9,0,5,0,0,9,3,2,24,9,7,0,25,10,60,482,55,487,38,504,348,190,275,265,144,234,164,13,18,20,7,13,7,0,5,2,3,13,0,9,21,691,4,15,1,1,6,0,0,2,32,9,161,20,37,32,2,11,24,3,5,0,0,1004,32,2,107,863,9,3,0,0,3,0,13,10,1370,771,23,20,78,40,57,131,22,29,8,43,12,2,19,2,4,19,9,18,10,3,17,43,92,953,71,974,674,364,516,524,272,494,279,0,14,8,32,35,1,1,7,2,0,38.9,44.4,16.7,5.6,77.8,22.2,83.3,17,0,50,38.9,5.6,8.9,91.1,7.4,92.6,6.6,93.4,65.2,34.8,48.2,51.8,25.4,51.7,22.9,42.9,7.1,50,21.4,64.3,35.7,64.3,0,35.7,64.3,21.4,14.3,11.1,88.9,10.1,89.9,7,93,64.7,35.3,50.9,49.1,26.6,43.2,30.3
