WS_id_primary_key,match_id,Team_Code,Team_result,Team_points,Team_Goals,Opp_Goals,HTorAT,manager,Shots,Shots_on_target,Pass_Success_percent,Aerial_Duel_Success_percent,Dribbles_won,Tackles,Possession_percent,Total_Attempts,Goals,Conversion_Rate_percent,Open_Play_shots,Set_Piece_shots,Counter_Attack_shots,Penalty_shots,Own_Goal_shots,Total_Passes,Crosses,Through_Balls,Long_Balls,Short_Passes,Average_Pass_Streak,Total_Cards,Cards_for_Fouls,Cards_for_Unprofessional,Cards_for_Dives,Cards_for_Other,Red_Cards,Yellow_Cards,Cards_per_Foul_percent,Fouls_per_Game,Ratings,Total_Shots,Woodwork_shots,Shots_on_target_B,Shots_off_target,Shots_blocked,Possession_percent_b,Touches,Pass_Success_percent_b,Total_passes_b,Accurate_passes,Key_passes,Dribbles_Won_b,Dribbles_attempted,Dribbled_past,Dribble_Success_percent,Aerials_Won,Aerials_Won_percent,Offensive_Aerials,Defensive_Aerials,Successful_Tackles,Tackles_Attempted,Was_Dribbled,Tackle_Success_percent,Clearances,Interceptions,Corners,Corner_Accuracy_percent,Dispossessed,Errors,Fouls,Offsides,Goals_b,Shots_on_Target_c,Shots_off_Target_b,Woodworks_shots,Blocked_shots,Own_shots,6_yard_box_shots,Penalty_Area_shots,Outside_of_box_shots,Open_Play_shots_b,Fastbreak_shots_b,Set_Pieces_shots_b,Penalty_shots_b,Own_Goal_shots_b,Right_foot_shots,Left_foot_shots,Headed_shots,Crossed_passes,Freekick_passes,Corner_passes,Through_Balls_b,Throw_Ins,Key_Passes_b,Long_passes_b,Short_passes_b,Chipped_passes,Ground_passes,Headed_passes,Feet_passes,Forward_passes,Backward_passes,Passes_to_Left,Passes_to_Right,Defensive_Third_passes,Mid_Third_passes,Final_Third_passes,Successful_passes_b,Unsuccessful_passes_b,Successful_Tackles_b,Was_Dribbled_b,Interceptions_b,Total_clearances,clearances_Off_The_Line,clearances_with_Head,clearances_with_Feet,Blocked_Shots_c,blocked_Crosses,Offsides_b,Fouls_b,Aerial_duels_b,Touches_b,Dispossessed_b,Turnover,error_Lead_to_Shot,error_Lead_to_Goal,Saves,Claims,Punches
WS1743393HT,1743393,42,L,0,0,4,HT,Ole Werner,6,1,72,48,3,29,28,6,0,0,5,1,0,0,0,265,13,0,50,202,3,2,2,0,0,0,0,2,12,17,6.09,6,0,1,5,0,28,410,72,244,176,3,3,6,20,50,16,48,23,10,29,49,20,59,16,3,0,0,1,0,17,3,0,1,5,0,0,0,0,3,3,5,0,1,0,0,2,4,0,12,5,0,0,10,3,49,223,58,214,26,246,196,75,144,127,76,122,74,3,4,29,20,3,16,0,7,9,8,12,3,17,16,410,1,10,0,0,6,1,0
WS1743393AT,1743393,37,W,3,4,0,AT,Thomas Tuchel,25,10,91,52,20,3,72,25,4,16,19,5,1,0,0,686,18,2,37,629,6,1,6,5,1,0,0,0,6,0,7.4,25,1,10,7,8,72,860,91,664,601,23,20,41,3,49,17,52,10,23,3,6,3,50,9,6,6,67,11,0,11,0,4,10,7,1,8,0,1,13,11,19,1,5,0,0,17,6,2,18,18,6,2,21,23,36,671,42,665,28,679,433,273,360,342,132,358,217,20,23,3,3,6,9,0,5,4,0,7,0,11,17,860,11,11,0,0,1,1,0
WS1743394HT,1743394,36,W,3,3,2,HT,Xabi Alonso,11,7,82,46,11,15,45,11,3,27,9,1,1,0,0,463,15,1,38,409,5,1,0,0,0,1,0,1,8,13,6.9,11,0,7,3,1,45,610,82,442,362,8,11,22,9,50,13,46,16,12,15,24,9,63,13,8,4,50,7,0,13,2,3,7,3,0,1,0,0,6,5,9,1,1,0,0,6,3,2,15,10,4,1,12,8,36,437,36,437,20,453,283,188,251,220,82,248,143,11,12,15,9,8,13,0,6,7,4,12,2,13,13,610,7,9,0,0,4,2,0
WS1743394AT,1743394,7614,L,0,2,3,AT,Marco Rose,14,6,86,54,9,16,56,14,2,14,9,5,0,0,0,576,13,1,36,526,5,2,11,9,1,1,0,0,11,3,6.55,14,1,6,4,4,56,734,86,557,478,11,9,19,11,47,15,54,12,16,16,27,11,59,12,8,5,40,7,0,10,0,2,6,4,1,4,0,4,5,5,9,0,5,0,0,6,2,6,13,14,5,1,23,11,35,564,54,545,18,581,369,228,297,299,200,287,112,9,10,16,11,8,12,0,3,9,1,8,0,10,15,734,7,13,0,0,4,1,1
WS1743396HT,1743396,33,W,3,2,0,HT,Niko Kovac,18,8,82,48,7,17,48,18,2,11,15,0,3,0,0,487,8,2,45,432,5,3,2,0,0,1,0,3,30,10,6.95,18,0,8,7,3,48,679,82,472,388,13,7,21,13,33,19,48,13,27,17,30,13,57,15,16,1,0,8,0,10,2,2,8,7,0,3,0,1,13,4,15,3,0,0,0,9,7,1,8,8,1,2,18,13,45,458,37,466,33,470,326,174,241,259,128,260,115,7,18,17,13,16,15,0,9,6,7,19,2,10,19,679,8,20,0,0,1,2,0
WS1743396AT,1743396,4852,L,0,0,2,AT,Frank Schmidt,14,1,79,53,13,20,52,14,0,0,9,5,0,0,0,517,24,0,62,431,4,0,18,15,0,3,0,0,18,2,6.34,14,0,1,6,7,52,691,79,484,383,10,13,29,7,45,21,53,27,13,20,27,7,74,7,13,7,43,4,2,9,0,0,1,6,0,7,0,3,6,5,9,0,5,0,0,9,3,2,24,9,7,0,25,10,60,482,55,487,38,504,348,190,275,265,144,234,164,13,18,20,7,13,7,0,5,2,3,13,0,9,21,691,4,15,1,1,6,0,0
WS1743397HT,1743397,1211,L,0,1,2,HT,Pellegrino Matarazzo,22,4,79,44,4,11,50,22,1,4,15,6,1,0,0,486,24,1,57,404,4,0,0,0,0,0,0,0,0,9,6.52,22,0,4,7,11,50,653,79,449,353,16,4,11,14,36,20,44,23,22,11,25,14,44,24,7,4,75,12,0,9,3,1,4,7,0,11,1,0,14,8,15,1,6,0,1,12,6,4,24,6,4,1,16,16,57,442,67,432,45,454,341,156,258,238,87,222,190,4,7,11,14,7,24,0,13,11,4,6,3,9,20,653,12,10,0,0,6,0,0
WS1743397AT,1743397,50,W,3,2,1,AT,Christian Streich,19,9,77,56,14,17,50,19,2,10,16,1,1,0,1,479,23,0,72,384,4,1,22,15,6,1,0,0,22,1,6.88,18,1,9,7,2,50,647,77,450,347,15,14,23,4,61,25,56,22,23,17,21,4,81,16,11,2,100,5,0,9,0,1,9,7,1,2,0,1,13,4,16,1,1,0,0,7,8,3,23,11,2,0,15,15,71,423,60,434,48,446,332,162,265,228,108,218,168,14,9,17,4,11,16,0,9,7,11,14,0,9,25,647,5,10,0,0,3,0,2
WS1743398HT,1743398,1730,D,1,4,4,HT,Enrico MaaÃÂen,20,7,85,59,2,13,56,20,4,20,16,3,0,1,0,508,23,2,44,439,5,1,1,0,0,0,0,1,11,9,6.71,20,0,7,7,6,56,646,85,479,405,17,2,7,7,29,22,59,19,18,13,20,7,65,10,12,8,38,5,0,9,4,4,7,7,0,6,0,1,11,8,16,0,3,1,0,10,8,2,23,11,8,2,16,17,44,476,51,469,33,487,350,167,266,250,124,249,147,2,7,13,7,12,10,0,3,7,2,5,4,9,22,646,5,16,0,0,1,0,0
WS1743398AT,1743398,134,D,1,4,4,AT,Gerardo Seoane,10,6,77,41,7,10,44,10,4,40,7,2,0,1,0,394,19,1,61,313,4,2,20,16,3,0,1,0,20,4,6.59,10,0,6,3,1,44,538,77,371,285,9,7,16,2,44,15,41,18,19,10,12,2,83,19,7,7,43,7,0,13,1,4,6,3,0,1,0,0,8,2,7,0,2,1,0,6,0,4,19,11,7,1,12,9,62,343,68,337,30,375,261,141,202,202,95,173,137,7,11,10,2,7,19,0,13,6,6,13,1,13,15,538,7,13,0,0,3,0,1
WS1743399HT,1743399,41,W,3,5,0,HT,Sebastian HoeneÃÂ,21,9,87,58,10,7,60,21,5,23,14,6,1,0,0,582,24,3,53,502,6,1,1,0,0,0,0,1,20,5,7.46,21,0,9,6,6,60,743,87,547,474,17,10,29,2,34,21,58,15,21,7,9,2,78,15,8,7,43,11,0,5,2,5,9,6,0,6,0,3,11,7,14,1,6,0,0,12,5,4,24,12,7,3,19,17,50,549,65,534,34,565,376,220,294,297,117,299,183,10,21,7,2,8,15,0,6,9,1,6,2,5,21,743,11,11,0,0,1,3,0
WS1743399AT,1743399,109,L,0,0,5,AT,Thomas Letsch,4,1,75,42,2,24,40,4,0,0,3,1,0,0,0,382,8,2,52,320,4,1,21,14,6,1,0,0,21,5,5.95,4,0,1,2,1,40,519,75,366,276,2,2,6,10,33,15,42,21,15,24,34,10,71,23,9,0,0,4,0,12,2,0,1,2,0,1,0,1,3,0,3,0,1,0,0,3,1,0,8,7,0,2,20,2,51,349,61,339,30,370,253,145,214,185,126,193,81,2,5,24,10,9,23,0,11,12,6,9,2,12,15,519,4,5,0,0,4,0,1
WS1743392HT,1743392,44,W,3,1,0,HT,Edin Terzic,13,2,88,50,12,11,67,13,1,7,3,10,0,0,0,726,18,1,53,654,7,1,1,0,0,0,0,1,8,13,6.82,13,0,2,6,5,67,900,88,702,618,11,12,25,7,48,15,50,12,18,11,18,7,61,14,10,6,83,7,0,13,1,1,2,6,0,5,0,3,7,3,3,0,10,0,0,5,1,7,18,12,6,1,20,11,52,693,49,696,26,719,472,270,370,371,185,366,194,12,16,11,7,10,14,0,5,9,2,10,1,13,15,900,7,22,0,0,4,0,0
WS1743392AT,1743392,282,L,0,0,1,AT,Steffen Baumgart,11,4,78,50,7,20,33,11,0,0,8,2,1,0,0,366,20,2,35,309,4,0,13,3,10,0,0,0,13,1,6.52,11,0,4,5,2,33,548,78,339,263,11,7,13,12,54,15,50,18,12,20,32,12,63,22,12,3,33,6,0,11,2,0,4,5,0,2,0,1,5,5,8,1,2,0,0,5,4,2,20,11,3,2,24,11,34,354,46,342,25,363,272,113,182,204,107,151,130,7,7,20,12,12,22,0,10,12,5,14,2,11,15,548,6,12,0,0,1,0,0
WS1743391HT,1743391,796,W,3,4,1,HT,Urs Fischer,11,6,74,58,3,7,46,11,4,36,5,5,1,0,0,394,15,1,67,311,4,1,1,0,0,0,0,1,7,15,7.04,11,1,6,4,1,46,543,74,375,278,7,3,12,1,25,35,58,30,30,7,8,1,88,20,4,3,67,6,0,15,1,4,6,4,1,1,0,1,8,2,5,1,5,0,0,6,1,4,15,11,3,1,23,7,67,349,64,352,49,367,278,138,206,209,125,184,107,3,9,7,1,4,20,0,12,8,4,9,1,15,35,543,6,11,0,0,3,2,1
WS1743391AT,1743391,219,L,0,1,4,AT,Bo Svensson,10,3,77,42,1,13,54,10,1,10,8,0,0,2,0,455,17,0,47,391,4,5,11,5,5,1,0,0,11,4,6.09,10,1,3,3,4,54,603,77,429,332,5,1,3,3,33,25,42,30,30,13,16,3,81,12,14,1,0,5,0,16,0,1,3,3,1,4,0,1,8,1,8,0,0,2,0,5,3,2,17,13,1,0,20,5,45,430,69,406,47,428,337,137,230,240,83,245,147,1,2,13,3,14,12,0,5,7,1,7,0,16,25,603,5,18,0,0,2,2,1
WS1743395HT,1743395,45,W,3,1,0,HT,Dino ToppmÃÂ¶ller,9,3,87,46,7,13,61,9,1,11,5,4,0,0,0,593,12,3,48,530,6,2,1,0,0,1,0,2,22,9,6.66,9,0,3,5,1,61,752,87,578,501,7,7,22,7,32,12,46,11,15,13,20,7,65,9,3,7,71,12,0,9,0,1,3,5,0,1,0,1,6,2,5,0,4,0,0,6,1,2,12,12,7,3,28,7,51,570,42,579,19,602,391,229,316,303,115,351,155,7,15,13,7,3,9,0,5,4,2,8,0,9,12,752,12,12,0,0,2,0,0
WS1743395AT,1743395,1147,L,0,0,1,AT,Torsten Lieberknecht,10,2,78,54,7,26,39,10,0,0,7,3,0,0,0,379,14,0,82,283,4,3,9,5,4,0,0,0,9,1,6.46,10,1,2,5,3,39,526,78,355,278,8,7,13,7,54,14,54,15,11,26,33,7,79,15,13,3,33,7,1,14,2,0,2,5,1,3,0,0,6,4,7,0,3,0,0,5,3,2,14,7,3,0,14,8,79,312,58,333,19,372,255,136,186,202,91,180,120,7,6,26,7,13,15,0,5,10,1,5,2,14,14,526,7,12,1,0,2,4,1
