team_code,team_name,established,stadium,capacity
1730,Augsburg,1907,WWK Arena ,"30,660"
37,Bayern,1900,Allianz Arena ,"75,000"
109,Bochum,1938,Ruhrstadion ,"26,000"
42,Bremen,1899,Weserstadion ,"42,100"
282,Cologne,1948,RheinEnergieStadion ,"50,000"
1147,Darmstadt,1898,B—llenfalltor ,"17,810"
44,Dortmund,1909,Westfalenstadion,"81,365"
45,Frankfurt,1899,Deutsche Bank Park ,"58,000"
50,Freiburg,1904,Europa-Park Stadion ,"34,700"
134,Gladbach,1900,Borussia-Park ,"54,042"
4852,Heidenheim,2007,Voith-Arena ,"15,000"
1211,Hoffenheim,1899,PreZero Arena ,"30,150"
7614,Leipzig,2009,Red Bull Arena ,"47,069"
36,Leverkusen,1904,BayArena ,"30,210"
219,Mainz,1905,Mewa Arena ,"33,305"
41,Stuttgart,1893,MHPArena ,"60,058"
796,Union,1966,Stadion An der Alten F—rsterei ,"22,012"
33,Wolfsburg,1945,Volkswagen Arena ,"28,917"
